ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-BH-A0E9-01	3417.39	2398.22	5815.61
TCGA-BH-A0EA-01	3874.41	2481.07	6355.49
TCGA-BH-A0EB-01	3962.08	3347.74	7309.83
TCGA-BH-A0EE-01	1952.93	2306.2	4259.13
TCGA-BH-A0EI-01	3845.37	2470.33	6315.7
TCGA-BH-A0GY-01	3574.33	2579.75	6154.08
TCGA-BH-A0GZ-01	3735.97	1548.41	5284.38
TCGA-BH-A0H0-01	2658.03	1535	4193.02
TCGA-BH-A0H3-01	3930.57	2792.76	6723.34
TCGA-BH-A0H6-01	3662.03	1468.46	5130.49
TCGA-BH-A0H7-01	3686.98	2044.61	5731.59
TCGA-BH-A0H9-01	3232.38	1766.19	4998.57
TCGA-BH-A0HA-01	4016.74	2705.32	6722.06
TCGA-BH-A0HB-01	3517.52	2879.77	6397.29
TCGA-BH-A0HI-01	3816.15	2374.01	6190.16
TCGA-BH-A0HK-01	3531.65	2204.36	5736
TCGA-BH-A0HO-01	3497.68	2728.84	6226.52
TCGA-BH-A0HP-01	3753.42	2526.63	6280.05
TCGA-BH-A0HQ-01	3725.73	1962.55	5688.28
TCGA-BH-A0HU-01	3023.79	1628.23	4652.02
TCGA-BH-A0HW-01	1916.53	377.86	2294.39
TCGA-BH-A0HX-01	3771.11	2271.97	6043.08
TCGA-BH-A0HY-01	3398.59	1336.26	4734.85
TCGA-BH-A0RX-01	4036.5	3731.41	7767.9
TCGA-BH-A0W3-01	2707.51	2194.24	4901.75
TCGA-BH-A0W4-01	3737.76	1710.35	5448.11
TCGA-BH-A0W5-01	4065.99	3782.09	7848.09
TCGA-BH-A0W7-01	4161.58	3414.66	7576.25
TCGA-BH-A0WA-01	3392.16	2516.04	5908.2
TCGA-BH-A18F-01	3970.16	2844.22	6814.38
TCGA-BH-A18G-01	3050.17	2068.26	5118.44
TCGA-BH-A18H-01	3462.8	3532.87	6995.67
TCGA-BH-A18I-01	4141.06	3192.27	7333.33
TCGA-BH-A18J-01	3672.15	2032.54	5704.69
TCGA-BH-A18K-01	2856.03	2264.76	5120.79
TCGA-BH-A18L-01	2645.07	1650.88	4295.95
TCGA-BH-A18M-01	3977.74	2615.52	6593.26
TCGA-BH-A18N-01	3289.12	1650.63	4939.75
TCGA-BH-A18P-01	3553.43	2237.55	5790.98
TCGA-BH-A18Q-01	2811.58	2718.23	5529.81
TCGA-BH-A18R-01	3288.29	2339.05	5627.33
TCGA-BH-A18S-01	2569.79	1870.89	4440.68
TCGA-BH-A18T-01	3836.82	1921.23	5758.06
TCGA-BH-A18U-01	3452.12	2455.59	5907.71
TCGA-BH-A18V-01	3584.55	3116.58	6701.13
TCGA-BH-A1EO-01	4295.04	3121.89	7416.93
TCGA-BH-A1ES-01	3549.79	1039.5	4589.29
TCGA-BH-A1ET-01	3573.73	2417.64	5991.37
TCGA-BH-A1EU-01	4105	3686.55	7791.55
TCGA-BH-A1EV-01	3551.03	1688.2	5239.24
TCGA-BH-A1EW-01	3582.65	3125.5	6708.15
TCGA-BH-A1F0-01	3980.97	4067.11	8048.08
TCGA-C8-A12K-01	3625.83	3871.73	7497.56
TCGA-C8-A12L-01	3069.11	2202.8	5271.91
TCGA-C8-A12M-01	2738.59	1840.98	4579.57
TCGA-C8-A12N-01	3704.14	2585.23	6289.36
TCGA-C8-A12P-01	3596.7	2617.57	6214.26
TCGA-C8-A12Q-01	3765.58	2740.7	6506.29
TCGA-C8-A12T-01	3834.54	2368.06	6202.6
TCGA-C8-A12U-01	2475.09	2623.03	5098.12
TCGA-C8-A12V-01	3720.24	4256.96	7977.2
TCGA-C8-A12W-01	3882.71	2974.85	6857.56
TCGA-C8-A12X-01	3039.44	2072.71	5112.15
TCGA-C8-A12Y-01	3601.55	1885.85	5487.4
TCGA-C8-A12Z-01	3186.68	1436.58	4623.26
TCGA-C8-A130-01	3688.29	2184.9	5873.2
TCGA-C8-A131-01	3626.37	2521.47	6147.84
TCGA-C8-A132-01	4045.26	3411.08	7456.35
TCGA-C8-A133-01	1403.45	1120.57	2524.02
TCGA-C8-A134-01	3346.41	3016.95	6363.37
TCGA-C8-A135-01	3729.73	2700.23	6429.96
TCGA-C8-A137-01	3170.97	977.61	4148.58
TCGA-C8-A138-01	3814.93	3281.49	7096.42
TCGA-C8-A1HF-01	3837.77	3283.25	7121.02
TCGA-C8-A1HG-01	3661.03	3240.91	6901.94
TCGA-C8-A1HI-01	3384.97	1665.99	5050.96
TCGA-C8-A1HL-01	3514.54	2308.58	5823.12
TCGA-C8-A1HM-01	3026.25	3907.99	6934.24
TCGA-C8-A1HN-01	3275.43	2217.23	5492.66
TCGA-D8-A13Y-01	2742.35	373.59	3115.94
TCGA-D8-A13Z-01	3691.91	3119.19	6811.1
TCGA-D8-A141-01	4247.67	3876.89	8124.57
TCGA-D8-A142-01	3871.34	2767.52	6638.86
TCGA-D8-A143-01	2998.11	2516.44	5514.56
TCGA-D8-A145-01	3896.5	2730.98	6627.49
TCGA-D8-A146-01	3953.64	2774.76	6728.4
TCGA-D8-A147-01	3005.48	2916.2	5921.68
TCGA-E2-A105-01	3035.66	1317.47	4353.13
TCGA-E2-A107-01	2897.23	1628.02	4525.25
TCGA-E2-A108-01	4377.91	4109.85	8487.77
TCGA-E2-A109-01	3447.15	2146.76	5593.91
TCGA-E2-A10A-01	3486.25	2352.14	5838.39
TCGA-E2-A10B-01	3730.86	2600.79	6331.65
TCGA-E2-A10C-01	3175.54	2837.36	6012.9
TCGA-E2-A10E-01	3302.1	2196.22	5498.32
TCGA-E2-A10F-01	4091.15	3342.72	7433.86
TCGA-E2-A14N-01	2456.34	2634.01	5090.35
TCGA-E2-A14O-01	2900.72	1843.87	4744.59
TCGA-E2-A14P-01	2721.32	2472.1	5193.42
TCGA-E2-A14Q-01	3229.61	1805.66	5035.27
