ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-AO-A03T-01	-428.54	27.13	-401.41
TCGA-AO-A03U-01	1003.03	1554.34	2557.37
TCGA-AO-A03V-01	-146.73	-482.27	-629.01
TCGA-AO-A0J2-01	-417.56	499.04	81.49
TCGA-AO-A0J3-01	-1128.69	-868.83	-1997.52
TCGA-AO-A0J4-01	51.08	826.43	877.51
TCGA-AO-A0J5-01	1246.38	-192.65	1053.73
TCGA-AO-A0J6-01	-826.69	751.6	-75.09
TCGA-AO-A0J7-01	-524.9	-954.38	-1479.29
TCGA-AO-A0J8-01	334.04	274.05	608.09
TCGA-AO-A0J9-01	1349.49	1230.21	2579.7
TCGA-AO-A0JA-01	1131.03	313.72	1444.74
TCGA-AO-A0JB-01	154.18	60.18	214.36
TCGA-AO-A0JC-01	649.17	3459.35	4108.51
TCGA-AO-A0JD-01	-882.93	-70.66	-953.6
TCGA-AO-A0JE-01	1378.75	1231.81	2610.56
TCGA-AO-A0JF-01	1595.16	594.69	2189.85
TCGA-AO-A0JG-01	545.3	689.07	1234.38
TCGA-AO-A0JI-01	-669.18	-626.82	-1296
TCGA-AO-A0JJ-01	1264.59	1154.41	2419
TCGA-AO-A0JL-01	-108	-571.53	-679.53
TCGA-AO-A0JM-01	603.83	-48.29	555.54
TCGA-AO-A124-01	-911.38	-268.75	-1180.13
TCGA-AO-A125-01	-1529.18	-884.59	-2413.77
TCGA-AO-A126-01	1027.58	56.43	1084.01
TCGA-AO-A128-01	527.32	2695.09	3222.41
TCGA-AO-A129-01	83.41	963.81	1047.22
TCGA-AO-A12A-01	635.43	74.66	710.09
TCGA-AO-A12B-01	-627.87	-533.01	-1160.88
TCGA-AO-A12C-01	1016.32	-530.44	485.88
TCGA-AO-A12D-01	1029.7	1182.18	2211.88
TCGA-AO-A12E-01	415.59	223.85	639.44
TCGA-AO-A12F-01	401.93	-658.47	-256.54
TCGA-AO-A12G-01	597.57	-147.46	450.11
TCGA-AO-A12H-01	-264.57	-335.75	-600.32
TCGA-AO-A1KO-01	244.68	-481.69	-237.02
TCGA-AO-A1KP-01	-564.41	-1086.54	-1650.95
TCGA-AO-A1KQ-01	139.83	482.9	622.73
TCGA-AO-A1KR-01	-1110.32	-109.51	-1219.83
TCGA-AO-A1KS-01	180.88	-314.73	-133.85
TCGA-AO-A1KT-01	563.72	-6.21	557.51
TCGA-AQ-A04H-01	-262.43	-656.31	-918.74
TCGA-AQ-A04J-01	827.3	1321.34	2148.63
TCGA-AQ-A04L-01	333.15	-286.69	46.45
TCGA-AQ-A0Y5-01	1024.64	-118.86	905.78
TCGA-AQ-A1H2-01	-360.12	-191.76	-551.88
TCGA-AQ-A1H3-01	715.26	123.41	838.68
TCGA-AQ-A54N-01	-1596.04	-462.15	-2058.19
TCGA-AQ-A54O-01	-285.54	22.99	-262.55
TCGA-AQ-A7U7-01	1584.12	2151.91	3736.03
TCGA-AR-A0TP-01	-732.05	-1126.62	-1858.67
TCGA-AR-A0TQ-01	120.08	606.16	726.24
TCGA-AR-A0TR-01	-1358.03	-555.18	-1913.21
TCGA-AR-A0TS-01	557.31	1650.26	2207.57
TCGA-AR-A0TT-01	1170.14	2091.98	3262.12
TCGA-AR-A0TU-01	-855.62	560.98	-294.64
TCGA-AR-A0TV-01	-378.9	690.88	311.99
TCGA-AR-A0TW-01	-3.57	674.02	670.45
TCGA-AR-A0TX-01	795.94	1186.29	1982.22
TCGA-AR-A0TY-01	-543.93	-706.64	-1250.57
TCGA-AR-A0TZ-01	-8.11	-565.14	-573.25
TCGA-AR-A0U0-01	-21.43	1217.69	1196.27
TCGA-AR-A0U2-01	-406.98	-74.3	-481.29
TCGA-AR-A0U3-01	-635.42	-342.14	-977.56
TCGA-AR-A0U4-01	518.78	1742.3	2261.08
TCGA-AR-A1AH-01	-586.5	-902.48	-1488.98
TCGA-AR-A1AI-01	-413.1	1270.08	856.98
TCGA-AR-A1AJ-01	1167.85	2173.73	3341.58
TCGA-AR-A1AK-01	951.06	1101.74	2052.8
TCGA-AR-A1AL-01	891.14	37.09	928.23
TCGA-AR-A1AM-01	572.18	86.13	658.31
TCGA-AR-A1AN-01	1044.95	69.81	1114.76
TCGA-AR-A1AO-01	1555.87	2294.29	3850.16
TCGA-AR-A1AP-01	465.5	362.27	827.77
TCGA-AR-A1AQ-01	275.88	1397.87	1673.75
TCGA-AR-A1AR-01	952.65	1317.93	2270.59
